Year,Oil and petroleum products (excluding biofuel portion),Crude oil,Natural gas liquids,Refinery gas,Ethane,Liquefied petroleum gases,Naphtha,Aviation gasoline,Motor gasoline (excluding biofuel portion),Gasoline-type jet fuel,Kerosene-type jet fuel (excluding biofuel portion),Other kerosene,Gas oil and diesel oil (excluding biofuel portion),Fuel oil,White spirit and special boiling point industrial spirits,Lubricants,Paraffin waxes,Petroleum coke,Bitumen,Other oil products n.e.c.
1990,374207.969,39.044,0.0,2548.698,0.0,16191.695,1782.029,141.932,111717.939,790.392,4480.73,1135.422,192966.941,36493.565,0.0,0.0,0.0,5091.249,0.0,828.33
1991,382444.375,33.136,0.0,2259.173,0.0,17401.391,1853.815,134.454,112459.775,436.991,4612.41,1130.438,201446.108,35340.796,0.0,0.0,0.0,4837.393,0.0,498.491
1992,380969.82,19.362,0.0,2317.825,0.0,16912.51,2416.487,120.49,114687.151,363.981,4639.674,1305.236,202296.676,30658.536,2.981,0.0,0.0,4691.903,0.0,537.007
1993,380781.043,15.537,0.0,2283.233,0.0,17166.216,2784.907,120.461,114363.531,251.825,4637.564,914.133,204699.028,28704.412,3.045,0.0,0.0,4400.594,0.0,436.558
1994,378676.497,15.489,0.0,2651.189,0.0,17627.299,2601.94,118.141,113879.666,98.402,4566.969,938.837,201013.451,29567.095,3.045,0.0,0.0,4924.59,0.0,670.381
1995,381054.299,14.267,0.0,2484.768,0.0,17422.526,2540.794,103.38,113998.483,84.647,4631.183,984.315,205121.611,27436.299,1.015,0.0,0.0,5337.03,0.0,893.984
1996,394332.161,13.249,0.0,2371.938,0.0,18578.585,2540.627,98.418,115107.224,104.751,4849.838,1117.414,217444.813,25172.96,2.03,0.0,0.0,5702.179,0.0,1228.13
1997,395646.481,13.239,0.0,2569.226,0.0,18539.319,2585.639,112.886,114834.708,149.19,5070.79,1125.627,216934.455,25594.705,2.03,0.0,0.0,6803.454,0.0,1311.211
1998,404050.514,13.244,0.0,2675.733,0.0,18890.711,2702.828,110.749,115500.891,249.709,5966.586,1197.552,224549.805,25206.001,5.075,0.0,0.0,6588.843,0.0,392.792
1999,402447.328,13.242,0.0,2691.163,0.0,19646.561,2405.166,117.228,115199.164,121.68,6309.453,1223.976,223623.553,23846.802,8.426,0.0,0.0,6866.351,0.0,374.56
