Year,Energy Balance value type,Gross available energy,International maritime bunkers,International aviation,Gross inland consumption (Europe 2020-2030),Primary energy consumption (Europe 2020-2030),Final energy consumption (Europe 2020-2030),Energy sector - energy use,Available for final consumption,Final consumption - non-energy use,Energy sector - non-energy use,Final consumption - industry sector - non-energy use,Final consumption - transport sector - non-energy use,Final consumption - other sectors - non-energy use,Final consumption - energy use,Final consumption - industry sector - energy use,Final consumption - industry sector - iron and steel - energy use,Final consumption - industry sector - chemical and petrochemical - energy use,Final consumption - industry sector - non-ferrous metals - energy use,Final consumption - industry sector - non-metallic minerals - energy use,Final consumption - industry sector - transport equipment - energy use,Final consumption - industry sector - machinery - energy use,Final consumption - industry sector - mining and quarrying - energy use,"Final consumption - industry sector - food, beverages and tobacco - energy use","Final consumption - industry sector - paper, pulp and printing - energy use",Final consumption - industry sector - wood and wood products - energy use,Final consumption - industry sector - construction - energy use,Final consumption - industry sector - textile and leather - energy use,Final consumption - industry sector - not elsewhere specified - energy use,Final consumption - transport sector - energy use,Final consumption - transport sector - rail - energy use,Final consumption - transport sector - road - energy use,Final consumption - transport sector - domestic aviation - energy use,Final consumption - transport sector - domestic navigation - energy use,Final consumption - transport sector - pipeline transport - energy use,Final consumption - transport sector - not elsewhere specified - energy use,Final consumption - other sectors - energy use,Final consumption - other sectors - commercial and public services - energy use,Final consumption - other sectors - households - energy use,Final consumption - other sectors - agriculture and forestry - energy use,Final consumption - other sectors - fishing - energy use,Final consumption - other sectors - not elsewhere specified - energy use
1990,Total,1488834.445,33172.01,18221.235,1455516.892,1366733.592,952133.848,71510.747,1003558.558,88783.3,42.615,84091.111,2251.93,644.121,906557.2,310358.736,48081.888,64637.515,11021.479,40321.37,6955.43,19970.658,6035.437,25221.342,25127.913,5301.894,5108.111,10797.737,41762.288,220728.734,7471.495,201602.602,4997.035,5192.513,201.956,1263.133,375469.731,97775.989,236854.668,31954.693,1410.441,7473.94
1990,Oil and petroleum products (excluding biofuel portion),581089.737,33172.01,18221.235,,,,31595.056,447824.628,73028.945,42.615,69973.673,2251.93,458.204,374207.969,54309.572,2855.049,9653.971,1460.279,10933.174,800.781,3251.243,646.904,6191.456,3013.559,642.527,2869.498,2376.139,9614.993,215274.138,3351.48,201358.594,4997.035,5187.296,0.0,379.734,104624.261,23978.038,58301.131,19131.466,1406.399,1807.225
1995,Total,1484511.784,32799.44,22547.525,1451581.084,1356585.198,940101.581,73912.206,986699.422,94995.885,27.271,91036.035,2146.532,836.883,892574.111,271746.33,39590.132,55652.418,9558.253,39722.976,6789.666,17980.586,3684.149,26871.993,28499.002,5418.063,5806.192,9448.17,22706.876,235860.204,7454.32,217949.625,4264.002,5078.575,221.448,892.225,384967.579,98901.377,246191.73,29872.477,1440.683,8561.31
1995,Oil and petroleum products (excluding biofuel portion),603057.742,32799.44,22547.525,,,,33973.12,456870.787,80265.251,27.271,77332.086,2146.532,541.388,381054.299,48655.192,1968.223,10987.108,1432.194,10081.435,749.951,2594.844,798.833,6041.4,2869.866,551.145,3765.231,1692.568,5122.394,230161.987,3077.95,217467.724,4264.002,5078.051,1.027,273.231,102237.119,21953.401,58940.073,18640.181,1439.274,1264.194
2000,Total,1538669.664,40378.606,28575.37,1497947.242,1396498.024,979514.177,71687.789,1023044.342,101449.218,34.064,97129.146,2665.668,826.481,926009.819,270963.625,35912.871,51775.143,10428.476,41953.742,7902.465,16968.206,3323.247,27508.466,32880.507,6473.098,5921.623,9755.462,20138.687,262917.299,7384.85,243170.693,5714.856,5206.13,581.01,859.757,392128.897,104721.487,248525.256,26918.493,1520.508,10443.153
2000,Oil and petroleum products (excluding biofuel portion),620196.327,40378.606,28575.37,,,,33635.096,475449.769,85933.442,34.064,82629.769,2665.668,548.287,396724.083,44921.684,1989.657,9226.727,1539.678,11314.654,684.126,2297.857,924.866,4935.549,2369.237,571.638,4094.263,1460.505,3512.926,256058.131,2935.849,242066.821,5714.856,5206.13,1.992,132.479,95744.266,21123.05,54694.823,16802.673,1464.376,1659.342
2005,Total,1650685.113,47199.28,31148.203,1602383.579,1497510.31,1040683.832,73759.921,1091799.079,104873.268,20.461,99990.477,2585.968,905.975,986388.929,274887.405,34517.655,52502.833,10547.651,43599.389,8163.65,18744.477,3287.535,27582.593,34116.745,7408.938,6394.284,7103.609,20889.574,281579.615,6811.12,260169.456,5843.83,5578.815,2276.305,900.09,429921.91,127383.117,267096.457,26804.679,1458.332,7179.326
2005,Oil and petroleum products (excluding biofuel portion),645760.997,47199.28,31148.203,,,,34142.665,490086.063,89384.584,20.461,85898.512,2585.968,652.811,405166.278,39999.071,1508.417,7862.53,1143.149,12634.721,493.112,2117.871,886.334,4013.128,1808.099,413.659,4316.909,893.418,1907.725,270539.898,2507.6,256450.695,5843.83,5578.815,3.05,155.907,94627.307,22007.351,52547.924,16477.335,1375.3,2219.393
2010,Total,1606154.589,46703.239,32120.035,1556361.839,1458056.748,1023790.693,73708.935,1073284.062,98305.09,24.988,93212.797,1697.815,1470.671,972809.69,243717.425,27213.471,49119.763,8924.552,34728.981,7201.521,18408.218,3205.443,25910.759,32958.076,7760.427,6590.149,4436.204,17218.989,279986.454,6299.195,260628.232,5644.888,5020.067,1657.375,736.702,449105.815,139835.058,278890.936,25497.227,1191.097,3691.503
2010,Oil and petroleum products (excluding biofuel portion),585456.69,46703.239,32120.035,,,,30580.288,449512.163,83243.767,24.988,80455.605,1697.815,406.451,366111.796,30673.724,1128.045,8109.913,694.278,8935.524,374.286,1646.968,731.522,2414.511,1129.269,268.231,3163.904,403.019,1674.25,260495.435,2198.937,247527.322,5644.888,5017.871,1.034,105.383,74942.636,17704.392,41019.878,13547.819,1125.279,1545.264
