Year,variable,value
1990,Oil and petroleum products (excluding biofuel portion),374207.969
1991,Oil and petroleum products (excluding biofuel portion),382444.375
1992,Oil and petroleum products (excluding biofuel portion),380969.82
1993,Oil and petroleum products (excluding biofuel portion),380781.043
1994,Oil and petroleum products (excluding biofuel portion),378676.497
1995,Oil and petroleum products (excluding biofuel portion),381054.299
1996,Oil and petroleum products (excluding biofuel portion),394332.161
1997,Oil and petroleum products (excluding biofuel portion),395646.481
1998,Oil and petroleum products (excluding biofuel portion),404050.514
1999,Oil and petroleum products (excluding biofuel portion),402447.328
2000,Oil and petroleum products (excluding biofuel portion),396724.083
2001,Oil and petroleum products (excluding biofuel portion),407129.583
2002,Oil and petroleum products (excluding biofuel portion),402517.515
2003,Oil and petroleum products (excluding biofuel portion),407561.044
2004,Oil and petroleum products (excluding biofuel portion),408446.883
2005,Oil and petroleum products (excluding biofuel portion),405166.278
2006,Oil and petroleum products (excluding biofuel portion),403728.228
2007,Oil and petroleum products (excluding biofuel portion),390356.312
2008,Oil and petroleum products (excluding biofuel portion),390056.494
2009,Oil and petroleum products (excluding biofuel portion),370676.995
2010,Oil and petroleum products (excluding biofuel portion),366111.796
2011,Oil and petroleum products (excluding biofuel portion),355139.782
2012,Oil and petroleum products (excluding biofuel portion),342124.789
2013,Oil and petroleum products (excluding biofuel portion),338307.841
2014,Oil and petroleum products (excluding biofuel portion),333517.19
2015,Oil and petroleum products (excluding biofuel portion),338935.045
2016,Oil and petroleum products (excluding biofuel portion),343188.93
2017,Oil and petroleum products (excluding biofuel portion),345819.321
2018,Oil and petroleum products (excluding biofuel portion),344614.846
2019,Oil and petroleum products (excluding biofuel portion),345671.42
1990,Crude oil,39.044
1991,Crude oil,33.136
1992,Crude oil,19.362
1993,Crude oil,15.537
1994,Crude oil,15.489
1995,Crude oil,14.267
1996,Crude oil,13.249
1997,Crude oil,13.239
1998,Crude oil,13.244
1999,Crude oil,13.242
2000,Crude oil,13.134
2001,Crude oil,17.364
2002,Crude oil,18.325
2003,Crude oil,15.155
2004,Crude oil,16.188
2005,Crude oil,14.156
2006,Crude oil,13.14
2007,Crude oil,13.14
2008,Crude oil,12.124
2009,Crude oil,12.124
2010,Crude oil,12.124
2011,Crude oil,12.124
2012,Crude oil,12.124
2013,Crude oil,12.124
2014,Crude oil,7.072
2015,Crude oil,0.0
2016,Crude oil,0.0
2017,Crude oil,0.0
2018,Crude oil,0.0
2019,Crude oil,0.0
1990,Natural gas liquids,0.0
1991,Natural gas liquids,0.0
1992,Natural gas liquids,0.0
1993,Natural gas liquids,0.0
1994,Natural gas liquids,0.0
1995,Natural gas liquids,0.0
1996,Natural gas liquids,0.0
1997,Natural gas liquids,0.0
1998,Natural gas liquids,0.0
1999,Natural gas liquids,0.0
2000,Natural gas liquids,0.0
2001,Natural gas liquids,0.0
2002,Natural gas liquids,0.0
2003,Natural gas liquids,0.0
2004,Natural gas liquids,0.0
2005,Natural gas liquids,0.0
2006,Natural gas liquids,0.0
2007,Natural gas liquids,47.7
2008,Natural gas liquids,0.0
2009,Natural gas liquids,15.357
2010,Natural gas liquids,1.181
2011,Natural gas liquids,0.0
2012,Natural gas liquids,2.363
2013,Natural gas liquids,3.544
2014,Natural gas liquids,4.725
2015,Natural gas liquids,7.088
2016,Natural gas liquids,7.088
2017,Natural gas liquids,6.717
2018,Natural gas liquids,13.246
2019,Natural gas liquids,25.13
1990,Refinery gas,2548.698
1991,Refinery gas,2259.173
1992,Refinery gas,2317.825
1993,Refinery gas,2283.233
1994,Refinery gas,2651.189
1995,Refinery gas,2484.768
1996,Refinery gas,2371.938
1997,Refinery gas,2569.226
1998,Refinery gas,2675.733
1999,Refinery gas,2691.163
2000,Refinery gas,2910.689
2001,Refinery gas,3195.059
2002,Refinery gas,3476.746
2003,Refinery gas,4164.415
2004,Refinery gas,3791.503
2005,Refinery gas,3439.479
2006,Refinery gas,3950.395
2007,Refinery gas,4674.245
2008,Refinery gas,4111.088
2009,Refinery gas,3698.203
2010,Refinery gas,3857.791
2011,Refinery gas,3397.974
2012,Refinery gas,3579.863
2013,Refinery gas,3271.802
2014,Refinery gas,3369.149
2015,Refinery gas,3454.971
2016,Refinery gas,3706.369
2017,Refinery gas,3683.889
2018,Refinery gas,3979.128
2019,Refinery gas,4074.133
1990,Ethane,0.0
1991,Ethane,0.0
1992,Ethane,0.0
1993,Ethane,0.0
1994,Ethane,0.0
1995,Ethane,0.0
1996,Ethane,0.0
1997,Ethane,0.0
1998,Ethane,0.0
1999,Ethane,0.0
2000,Ethane,0.0
2001,Ethane,0.0
2002,Ethane,0.0
2003,Ethane,0.0
2004,Ethane,14.407
